date,golf,tweets,negative,positive
2017-02-01,7,152,47,81
2017-03-01,7,133,27,69
2017-04-01,6,138,27,76
2017-05-01,4,146,36,69
2017-06-01,6,175,40,90
2017-07-01,11,227,45,130
2017-08-01,14,198,44,119
2017-09-01,7,250,42,151
2017-10-01,10,256,60,148
2017-11-01,6,238,59,138
2017-12-01,9,172,40,110
2018-01-01,4,184,50,125
2018-02-01,3,166,40,105
2018-03-01,6,164,32,103
2018-04-01,5,226,60,145
2018-05-01,5,239,63,147
2018-06-01,4,333,92,197
2018-07-01,11,277,61,172
2018-08-01,16,354,97,208
2018-09-01,6,282,46,175
2018-10-01,2,335,63,189
2018-11-01,5,267,48,186
2018-12-01,1,280,67,178
2019-01-01,0,295,75,168
2019-02-01,5,200,45,109
2019-03-01,6,291,73,142
2019-04-01,8,328,84,179
2019-05-01,5,435,109,254
2019-06-01,11,373,77,225
2019-07-01,11,506,112,302
2019-08-01,12,460,110,273
2019-09-01,8,517,125,260
2019-10-01,4,624,146,296
2019-11-01,3,443,91,202
2019-12-01,11,467,110,234
2020-01-01,7,392,84,200
2020-02-01,3,397,86,217
2020-03-01,2,448,82,243
2020-04-01,0,381,88,192
2020-05-01,2,565,128,275
2020-06-01,6,547,107,299
2020-07-01,8,352,99,164
2020-08-01,10,574,93,236
2020-09-01,4,728,122,326
2020-10-01,3,879,151,386
2020-11-01,9,592,110,244
2020-12-01,6,421,79,170
